"approach","parameter","truth","mean_est","bias","rmse","mae","sd_est","coverage","ci_width","n_ok","dep_type","dep_par","k_true","n","r","r_label","n_exc","n_exc_nom","S","m","sigma","p_thresh","threshold","cred_mass","interval","seed","secs"
"Conventional","k",-0.3,-0.476035421119686,-0.176035421119686,0.326846940766699,0.255737893149075,0.275405225083993,0.5817,0.461973352467705,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Weighted GPD","k",-0.3,-0.249876251282679,0.0501237487173214,0.512096897645614,0.373532685315054,0.509663436077763,0.6212,0.747351365111016,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Cluster maxima (POT)","k",-0.3,-1.30559898000801,-1.00559898000801,1.56773493729014,1.30475408610531,1.20279183395405,0.1809,0.389762707525809,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Conventional","sigma",0.5700552914873,0.137405867327452,-0.432649424159848,0.464177669462232,0.434538754077209,0.0962247782341506,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Weighted GPD","sigma",0.5700552914873,0.115332489755392,-0.454722801731908,0.488629494017193,0.459431630250647,0.109895874275899,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Cluster maxima (POT)","sigma",0.5700552914873,0.331085526600942,-0.238969764886358,0.406273317207583,0.322645698476357,0.31845545928344,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Conventional","zm",2.99247827247882,1.68300747748383,-1.30947079499499,1.39768635688134,1.31016995773098,0.488709804479839,0.006,0.11824902240147,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Weighted GPD","zm",2.99247827247882,1.88483391275813,-1.10764435972069,1.64099472009795,1.27308771894569,1.21084031036054,0.125,0.811264437835639,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Cluster maxima (POT)","zm",2.99247827247882,1.87444580170414,-1.11803247077468,1.95388071843323,1.32851185859979,1.60246998323318,0.0943,0.597373308184615,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,2000,1,0.95,"empirical",0.95,"eti",244830,92.0444264411926
"Conventional","k",-0.3,-0.476035421119686,-0.176035421119686,0.326846940766699,0.255737893149075,0.275405225083993,0.5817,0.461973352467705,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
"Weighted GPD","k",-0.3,-0.249876251282679,0.0501237487173214,0.512096897645614,0.373532685315054,0.509663436077763,0.6212,0.747351365111016,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
"Cluster maxima (POT)","k",-0.3,-1.30559898000801,-1.00559898000801,1.56773493729014,1.30475408610531,1.20279183395405,0.1809,0.389762707525809,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
"Conventional","sigma",0.5700552914873,0.137405867327452,-0.432649424159848,0.464177669462232,0.434538754077209,0.0962247782341506,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
"Weighted GPD","sigma",0.5700552914873,0.115332489755392,-0.454722801731908,0.488629494017193,0.459431630250647,0.109895874275899,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
"Cluster maxima (POT)","sigma",0.5700552914873,0.331085526600942,-0.238969764886358,0.406273317207583,0.322645698476357,0.31845545928344,NA,NA,10000,"log",0.05,-0.3,1000,NA,"auto",49.9997,50,10000,4000,1,0.95,"empirical",0.95,"eti",244830,90.2175724506378
