"parameter","k_true","truth","p_hat","se","rel_eff","rmse_t1","rmse_t2","bias_t1","bias_t2","mean_t1","mean_t2","n_wins","n_ties","n_ok","S","t1","t2","dep","dep_par","dep_model","n","p_thresh","threshold","seed","secs","index"
"k",-0.5,-0.5,0.4858,0.0070682156164056,1.26954378678833,0.126027267962412,0.142000006362041,0.0285591137167776,-0.0561212553564108,-0.471440886283222,-0.556121255356411,2429,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",12,356.805325984955,1
"k",-0.447368421052632,-0.447368421052632,0.5314,0.00705711045683713,1.26315720110899,0.123186432700123,0.138449560042689,0.0302935243734168,-0.0618727266116752,-0.417074896679215,-0.509241147664307,2657,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",13,389.651860237122,2
"k",-0.394736842105263,-0.394736842105263,0.5572,0.00702464461734542,1.27079397485727,0.123520318340671,0.139243834953639,0.0263219850684524,-0.0645244458330533,-0.368414857036811,-0.459261287938316,2786,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",14,323.432152748108,3
"k",-0.342105263157895,-0.342105263157895,0.608,0.00690414368332525,1.26579164128915,0.118901349130131,0.133772823647813,0.0215910199516757,-0.068750640081093,-0.320514243206219,-0.410855903238988,3040,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",15,371.746081113815,4
"k",-0.289473684210526,-0.289473684210526,0.6132,0.00688746339373212,1.25936976371743,0.12107155846773,0.135868494705057,0.0224097066104534,-0.0698346606618411,-0.267063977600073,-0.359308344872367,3066,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",16,337.713301420212,5
"k",-0.236842105263158,-0.236842105263158,0.6324,0.00681865441271223,1.26216995758655,0.121767428771462,0.136801246634653,0.0218339939091191,-0.073204430865007,-0.215008111354039,-0.310046536128165,3162,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",17,292.459598302841,6
"k",-0.184210526315789,-0.184210526315789,0.6448,0.00676805673735083,1.29033570840396,0.123133438338955,0.139870898511027,0.0220256713851731,-0.0749836373629931,-0.162184854930616,-0.259194163678783,3224,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",18,323.813592910767,7
"k",-0.131578947368421,-0.131578947368421,0.6514,0.00673911032703873,1.29229077568772,0.126570550692558,0.143884095770963,0.0229472123951749,-0.0749378638379706,-0.108631734973246,-0.206516811206392,3257,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",19,398.934638977051,8
"k",-0.0789473684210527,-0.0789473684210527,0.6616,0.00669156842601195,1.34141534377649,0.132207055242682,0.153121532411185,0.0217764590898941,-0.0802441894978412,-0.0571709093311586,-0.159191557918894,3308,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",20,300.004139661789,9
"k",-0.0263157894736842,-0.0263157894736842,0.6756,0.00662064407742933,1.37458037355652,0.137397732535972,0.161088536154305,0.020267221778719,-0.0843080065725026,-0.00604856769496528,-0.110623796046187,3378,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",21,387.600818872452,10
"k",0.0263157894736842,0.0263157894736842,0.697,0.0145324120503102,1.19532635014234,0.225044541387618,0.246043405763774,-0.0100115258085146,-0.168689210161363,0.0163042636651696,-0.142373420687679,697,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4425,68.3076252937317,11
"k",0.0789473684210527,0.0789473684210527,0.706,0.0144070815920505,1.24837006319122,0.224697273974869,0.251055347493906,-0.00229116037648084,-0.161391496289452,0.0766562080445718,-0.0824441278683992,706,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4426,72.2478439807892,12
"k",0.131578947368421,0.131578947368421,0.726,0.0141040419738457,1.24711092863729,0.239568216858173,0.267535700213529,-0.0121423956291535,-0.177274450988668,0.119436551739268,-0.0456955036202468,726,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4427,76.6528518199921,13
"k",0.184210526315789,0.184210526315789,0.702,0.0144636095080032,1.22280942447968,0.249181838514756,0.275547055467388,-0.00518460626987316,-0.179156867778024,0.179025920045916,0.00505365853776551,702,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4428,73.0597991943359,14
"k",0.236842105263158,0.236842105263158,0.718,0.0142294061717276,1.26220446322643,0.262656875701182,0.29508941389414,-0.0172253318487011,-0.196034204982319,0.219616773414457,0.0408079002808386,718,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4429,78.1246438026428,15
"k",0.289473684210526,0.289473684210526,0.707,0.0143927412260486,1.37951779388706,0.260148024163974,0.30555133466738,-0.0258325502027718,-0.198622678731858,0.263641134007755,0.0908510054786683,707,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4430,75.1602914333344,16
"k",0.342105263157895,0.342105263157895,0.691,0.0146122893483533,1.31094252989073,0.278139602560621,0.318459828091666,-0.00435420834974834,-0.186899882755917,0.337751054808146,0.155205380401978,691,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4431,73.7875690460205,17
"k",0.394736842105263,0.394736842105263,0.71,0.0143492160064583,1.31286184952962,0.300552111392642,0.34437316132917,-0.0299553119303134,-0.211032372213077,0.36478153017495,0.183704469892186,710,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4432,25.5048840045929,18
"k",0.447368421052632,0.447368421052632,0.723,0.0141517136771488,1.37189672537045,0.308389742481771,0.361210722694108,-0.0240022223678826,-0.212739261080514,0.423366198684749,0.234629159972118,723,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4433,72.6611099243164,19
"k",0.5,0.5,0.682,0.0147267104269759,1.25666174611557,0.315765364107596,0.353975895054758,-0.0124881702843019,-0.203754139643806,0.487511829715698,0.296245860356194,682,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4434,80.0678660869598,20
"sigma",-0.5,0.225363460140012,0.453,0.0070397585185857,1.34177389157053,0.043701160745409,0.0506212238751716,-0.0189589604124951,0.00407862507061571,0.206404499727517,0.229442085210628,2265,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",12,356.805325984955,1
"sigma",-0.447368421052632,0.263380089340247,0.4526,0.00703922211611482,1.44646456170088,0.0506270034949423,0.0608886187337823,-0.0234220794387956,0.00671677856742352,0.239958009901452,0.270096867907671,2263,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",13,389.651860237122,2
"sigma",-0.394736842105263,0.308163575316606,0.4476,0.00703212969163681,1.41685096153674,0.060745948984921,0.0723068439244024,-0.0266442267347954,0.00893041112849726,0.28151934858181,0.317093986445103,2238,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",14,323.432152748108,3
"sigma",-0.342105263157895,0.359687678130895,0.4406,0.00702099195270868,1.40179604234243,0.0702543738993906,0.0831793998401494,-0.0301871703177332,0.0110828704498362,0.329500507813162,0.370770548580732,2203,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",15,371.746081113815,4
"sigma",-0.289473684210526,0.420719125189296,0.438,0.00701649485141976,1.43359642845227,0.081929304873949,0.0980963222133588,-0.0369467905000281,0.0137087151934544,0.383772334689268,0.43442784038275,2190,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",16,337.713301420212,5
"sigma",-0.236842105263158,0.49269473642876,0.4282,0.0069977819342989,1.4344400649391,0.0969279037422933,0.116088720302584,-0.0438823106972667,0.0182672825558482,0.448812425731493,0.510962018984608,2141,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",17,292.459598302841,6
"sigma",-0.184210526315789,0.57698430895811,0.4164,0.00697152838336042,1.35798537772861,0.115892993466664,0.135053152887402,-0.0554195717351295,0.0191346587071145,0.52156473722298,0.596118967665224,2082,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",18,323.813592910767,7
"sigma",-0.131578947368421,0.67471859263058,0.4254,0.00699192162427469,1.42009503801091,0.137207344023567,0.16350689169732,-0.0661132611514436,0.025282013015699,0.608605331479136,0.700000605646279,2127,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",19,398.934638977051,8
"sigma",-0.0789473684210527,0.789534502019286,0.4274,0.00699613093073593,1.4558406326433,0.161116997469585,0.19440090308605,-0.0751455713624961,0.037490956307183,0.71438893065679,0.827025458326469,2137,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",20,300.004139661789,9
"sigma",-0.0263157894736842,0.924067115951399,0.434,0.00700919396221848,1.59154485308083,0.18627268257819,0.234994993724943,-0.0850130868641937,0.0524728467544367,0.839054029087205,0.976539962705836,2170,0,5000,5000,"Weighted GPD","Conventional","markov",0.4,"log",4000,0.95,"empirical",21,387.600818872452,10
"sigma",0.0263157894736842,1.08251934132307,0.429,0.0156511660907422,1.94261489787762,0.323345176459236,0.450671136376783,-0.14055073346463,0.078123966529767,0.94196860785844,1.16064330785284,429,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4425,68.3076252937317,11
"sigma",0.0789473684210527,1.26539267643121,0.379,0.0153414145371279,1.81540846174644,0.43351341667964,0.584103381630953,-0.183821853016958,0.0960334104368105,1.08157082341425,1.36142608686802,379,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4426,72.2478439807892,12
"sigma",0.131578947368421,1.48588177614787,0.394,0.0154519901630826,2.41051918782045,0.478601775276307,0.74306978399916,-0.193503442489441,0.154202213729119,1.29237833365842,1.64008398987699,394,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4427,76.6528518199921,13
"sigma",0.184210526315789,1.74024817147517,0.417,0.0155920171882922,3.39265232308434,0.549759648356955,1.01261075996984,-0.247369451546844,0.206116626585628,1.49287871992833,1.9463647980608,417,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4428,73.0597991943359,14
"sigma",0.236842105263158,2.05007588643612,0.422,0.015617810345884,3.07539519209104,0.725078722683038,1.2715563954364,-0.260851648789493,0.28740746886054,1.78922423764662,2.33748335529666,422,0,1000,1000,"Weighted GPD","Conventional","markov",0.35,"log",2000,0.95,"empirical",4429,78.1246438026428,15
